x-axis,1,2
second,Volt,Volt
-500.003E-06,+2.670000086E+00,+4.968750000E+00
-499.002E-06,+2.670000086E+00,+4.968750000E+00
-498.002E-06,+2.670000086E+00,+4.968750000E+00
-497.002E-06,+2.670000086E+00,+4.968750000E+00
-496.002E-06,+2.670000086E+00,+4.968750000E+00
-495.002E-06,+2.670000086E+00,+4.968750000E+00
-494.002E-06,+2.670000086E+00,+4.999922813E+00
-493.002E-06,+2.670000086E+00,+4.937654063E+00
-492.002E-06,+2.670000086E+00,+4.999846250E+00
-491.002E-06,+2.670000086E+00,+4.968826719E+00
-490.002E-06,+2.670000086E+00,+4.968750000E+00
-489.002E-06,+2.670000086E+00,+4.937576406E+00
-488.002E-06,+2.670000086E+00,+4.968673750E+00
-487.002E-06,+2.670000086E+00,+4.968750000E+00
-486.002E-06,+2.670000086E+00,+4.999924063E+00
-485.002E-06,+2.670000086E+00,+4.968825781E+00
-484.002E-06,+2.670000086E+00,+4.999924375E+00
-483.002E-06,+2.670000086E+00,+4.968825469E+00
-482.002E-06,+2.670000086E+00,+4.968750000E+00
-481.002E-06,+2.670000086E+00,+4.968750000E+00
-480.002E-06,+2.670000086E+00,+4.968750000E+00
-479.002E-06,+2.670000086E+00,+4.968750000E+00
-478.002E-06,+2.670000086E+00,+4.999925313E+00
-477.002E-06,+2.670000086E+00,+4.968824531E+00
-476.002E-06,+2.670000086E+00,+4.968750000E+00
-475.002E-06,+2.670000086E+00,+4.968750000E+00
-474.002E-06,+2.670000086E+00,+4.937574063E+00
-473.002E-06,+2.670000086E+00,+4.937500000E+00
-472.002E-06,+2.670000086E+00,+4.937500000E+00
-471.002E-06,+2.670000086E+00,+4.999852813E+00
-470.002E-06,+2.670000086E+00,+4.937646875E+00
-469.002E-06,+2.670000086E+00,+4.937500000E+00
-468.002E-06,+2.670000086E+00,+4.968676875E+00
-467.002E-06,+2.670000086E+00,+4.968750000E+00
-466.002E-06,+2.670000086E+00,+4.968750000E+00
-465.002E-06,+2.670000086E+00,+4.937572656E+00
-464.002E-06,+2.670000086E+00,+4.937500000E+00
-463.002E-06,+2.670000086E+00,+4.968677656E+00
-462.002E-06,+2.670000086E+00,+4.968750000E+00
-461.002E-06,+2.670000086E+00,+4.937572031E+00
-460.002E-06,+2.670000086E+00,+4.937500000E+00
-459.002E-06,+2.670000086E+00,+4.999856563E+00
-458.002E-06,+2.670000086E+00,+4.968821563E+00
-457.002E-06,+2.670000086E+00,+4.968750000E+00
-456.002E-06,+2.670000086E+00,+4.968750000E+00
